feature,feature_index
min LEFT_EAR-RIGHT_FRONT_PAW,feature_295
std_dev LEFT_EAR-RIGHT_FRONT_PAW,feature_296
max LEFT_EAR-RIGHT_REAR_PAW,feature_297
mean LEFT_EAR-RIGHT_REAR_PAW,feature_298
median LEFT_EAR-RIGHT_REAR_PAW,feature_299
min LEFT_EAR-RIGHT_REAR_PAW,feature_300
std_dev LEFT_EAR-RIGHT_REAR_PAW,feature_301
max LEFT_EAR-TIP_TAIL,feature_302
mean LEFT_EAR-TIP_TAIL,feature_303
median LEFT_EAR-TIP_TAIL,feature_304
min LEFT_EAR-TIP_TAIL,feature_305
std_dev LEFT_EAR-TIP_TAIL,feature_306
max LEFT_FRONT_PAW-BASE_TAIL,feature_307
mean LEFT_FRONT_PAW-BASE_TAIL,feature_308
median LEFT_FRONT_PAW-BASE_TAIL,feature_309
min LEFT_FRONT_PAW-BASE_TAIL,feature_310
std_dev LEFT_FRONT_PAW-BASE_TAIL,feature_311
max LEFT_FRONT_PAW-CENTER_SPINE,feature_312
mean LEFT_FRONT_PAW-CENTER_SPINE,feature_313
median LEFT_FRONT_PAW-CENTER_SPINE,feature_314
min LEFT_FRONT_PAW-CENTER_SPINE,feature_315
std_dev LEFT_FRONT_PAW-CENTER_SPINE,feature_316
max LEFT_FRONT_PAW-LEFT_REAR_PAW,feature_317
mean LEFT_FRONT_PAW-LEFT_REAR_PAW,feature_318
median LEFT_FRONT_PAW-LEFT_REAR_PAW,feature_319
min LEFT_FRONT_PAW-LEFT_REAR_PAW,feature_320
std_dev LEFT_FRONT_PAW-LEFT_REAR_PAW,feature_321
max LEFT_FRONT_PAW-MID_TAIL,feature_322
mean LEFT_FRONT_PAW-MID_TAIL,feature_323
median LEFT_FRONT_PAW-MID_TAIL,feature_324
min LEFT_FRONT_PAW-MID_TAIL,feature_325
std_dev LEFT_FRONT_PAW-MID_TAIL,feature_326
max LEFT_FRONT_PAW-RIGHT_FRONT_PAW,feature_327
mean LEFT_FRONT_PAW-RIGHT_FRONT_PAW,feature_328
median LEFT_FRONT_PAW-RIGHT_FRONT_PAW,feature_329
min LEFT_FRONT_PAW-RIGHT_FRONT_PAW,feature_330
std_dev LEFT_FRONT_PAW-RIGHT_FRONT_PAW,feature_331
max LEFT_FRONT_PAW-RIGHT_REAR_PAW,feature_332
mean LEFT_FRONT_PAW-RIGHT_REAR_PAW,feature_333
median LEFT_FRONT_PAW-RIGHT_REAR_PAW,feature_334
min LEFT_FRONT_PAW-RIGHT_REAR_PAW,feature_335
std_dev LEFT_FRONT_PAW-RIGHT_REAR_PAW,feature_336
max LEFT_FRONT_PAW-TIP_TAIL,feature_337
mean LEFT_FRONT_PAW-TIP_TAIL,feature_338
median LEFT_FRONT_PAW-TIP_TAIL,feature_339
min LEFT_FRONT_PAW-TIP_TAIL,feature_340
std_dev LEFT_FRONT_PAW-TIP_TAIL,feature_341
max LEFT_REAR_PAW-BASE_TAIL,feature_342
mean LEFT_REAR_PAW-BASE_TAIL,feature_343
median LEFT_REAR_PAW-BASE_TAIL,feature_344
min LEFT_REAR_PAW-BASE_TAIL,feature_345
std_dev LEFT_REAR_PAW-BASE_TAIL,feature_346
max LEFT_REAR_PAW-MID_TAIL,feature_347
mean LEFT_REAR_PAW-MID_TAIL,feature_348
median LEFT_REAR_PAW-MID_TAIL,feature_349
min LEFT_REAR_PAW-MID_TAIL,feature_350
std_dev LEFT_REAR_PAW-MID_TAIL,feature_351
max LEFT_REAR_PAW-RIGHT_REAR_PAW,feature_352
mean LEFT_REAR_PAW-RIGHT_REAR_PAW,feature_353
median LEFT_REAR_PAW-RIGHT_REAR_PAW,feature_354
min LEFT_REAR_PAW-RIGHT_REAR_PAW,feature_355
std_dev LEFT_REAR_PAW-RIGHT_REAR_PAW,feature_356
max LEFT_REAR_PAW-TIP_TAIL,feature_357
mean LEFT_REAR_PAW-TIP_TAIL,feature_358
median LEFT_REAR_PAW-TIP_TAIL,feature_359
min LEFT_REAR_PAW-TIP_TAIL,feature_360
std_dev LEFT_REAR_PAW-TIP_TAIL,feature_361
max MID_TAIL-TIP_TAIL,feature_362
mean MID_TAIL-TIP_TAIL,feature_363
median MID_TAIL-TIP_TAIL,feature_364
min MID_TAIL-TIP_TAIL,feature_365
std_dev MID_TAIL-TIP_TAIL,feature_366
max NOSE-BASE_NECK,feature_367
mean NOSE-BASE_NECK,feature_368
median NOSE-BASE_NECK,feature_369
min NOSE-BASE_NECK,feature_370
std_dev NOSE-BASE_NECK,feature_371
max NOSE-BASE_TAIL,feature_372
mean NOSE-BASE_TAIL,feature_373
median NOSE-BASE_TAIL,feature_374
min NOSE-BASE_TAIL,feature_375
std_dev NOSE-BASE_TAIL,feature_376
max NOSE-CENTER_SPINE,feature_377
mean NOSE-CENTER_SPINE,feature_378
median NOSE-CENTER_SPINE,feature_379
min NOSE-CENTER_SPINE,feature_380
std_dev NOSE-CENTER_SPINE,feature_381
max NOSE-LEFT_EAR,feature_382
mean NOSE-LEFT_EAR,feature_383
median NOSE-LEFT_EAR,feature_384
min NOSE-LEFT_EAR,feature_385
std_dev NOSE-LEFT_EAR,feature_386
max NOSE-LEFT_FRONT_PAW,feature_387
mean NOSE-LEFT_FRONT_PAW,feature_388
median NOSE-LEFT_FRONT_PAW,feature_389
min NOSE-LEFT_FRONT_PAW,feature_390
std_dev NOSE-LEFT_FRONT_PAW,feature_391
max NOSE-LEFT_REAR_PAW,feature_392
mean NOSE-LEFT_REAR_PAW,feature_393
median NOSE-LEFT_REAR_PAW,feature_394
min NOSE-LEFT_REAR_PAW,feature_395
std_dev NOSE-LEFT_REAR_PAW,feature_396
max NOSE-MID_TAIL,feature_397
mean NOSE-MID_TAIL,feature_398
median NOSE-MID_TAIL,feature_399
min NOSE-MID_TAIL,feature_400
std_dev NOSE-MID_TAIL,feature_401
max NOSE-RIGHT_EAR,feature_402
mean NOSE-RIGHT_EAR,feature_403
median NOSE-RIGHT_EAR,feature_404
min NOSE-RIGHT_EAR,feature_405
std_dev NOSE-RIGHT_EAR,feature_406
max NOSE-RIGHT_FRONT_PAW,feature_407
mean NOSE-RIGHT_FRONT_PAW,feature_408
median NOSE-RIGHT_FRONT_PAW,feature_409
min NOSE-RIGHT_FRONT_PAW,feature_410
std_dev NOSE-RIGHT_FRONT_PAW,feature_411
max NOSE-RIGHT_REAR_PAW,feature_412
